"gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Lin7c","T_cells",0.582,5.43,11.4,0.00894,0.0512,0.0627,"WB","Compartment","muscat_edgeR"
"Ccdc34","T_cells",-0.228,3.51,0.481,0.506,0.65,0.677,"WB","Compartment","muscat_edgeR"
"Lpcat4","T_cells",0.392,5.27,2.51,0.15,0.285,0.32,"WB","Compartment","muscat_edgeR"
"Nop10","T_cells",1.04,6.86,13.3,0.00591,0.0418,0.0504,"WB","Compartment","muscat_edgeR"
"Slc12a6","T_cells",-0.532,7.69,13.1,0.00607,0.0423,0.0511,"WB","Compartment","muscat_edgeR"
"Emc4","T_cells",0.539,5.24,10.1,0.0122,0.0605,0.0741,"WB","Compartment","muscat_edgeR"
"Katnbl1","T_cells",-0.167,4.9,0.701,0.425,0.578,0.608,"WB","Compartment","muscat_edgeR"
"Emc7","T_cells",0.665,5.58,15.8,0.00361,0.0323,0.0387,"WB","Compartment","muscat_edgeR"
"Aven","T_cells",-0.146,7.19,0.813,0.392,0.547,0.579,"WB","Compartment","muscat_edgeR"
"Ryr3","T_cells",-0.851,1.72,2.63,0.139,0.271,0.306,"WB","Compartment","muscat_edgeR"
"Scg5","T_cells",-0.771,3.08,6,0.0384,0.118,0.141,"WB","Compartment","muscat_edgeR"
"Arhgap11a","T_cells",-0.739,2.85,4.83,0.0572,0.152,0.178,"WB","Compartment","muscat_edgeR"
"Aqr","T_cells",-0.134,6.65,0.605,0.458,0.607,0.637,"WB","Compartment","muscat_edgeR"
"Zfp770","T_cells",-0.0695,3.19,0.0563,0.818,0.889,0.899,"WB","Compartment","muscat_edgeR"
"Dph6","T_cells",-0.44,5.87,1.4,0.268,0.424,0.459,"WB","Compartment","muscat_edgeR"
"Cdin1","T_cells",-0.554,5.29,4.51,0.0645,0.163,0.191,"WB","Compartment","muscat_edgeR"
"Spred1","T_cells",-0.353,3.6,1.83,0.211,0.359,0.395,"WB","Compartment","muscat_edgeR"
"Fam98b","T_cells",0.268,4.98,2.27,0.168,0.308,0.344,"WB","Compartment","muscat_edgeR"
"Rasgrp1","T_cells",-0.147,8.06,0.702,0.425,0.577,0.608,"WB","Compartment","muscat_edgeR"
"Thbs1","T_cells",1.8,4.52,9.55,0.0139,0.0652,0.0796,"WB","Compartment","muscat_edgeR"
"Eif2ak4","T_cells",-0.201,4.86,0.61,0.456,0.606,0.635,"WB","Compartment","muscat_edgeR"
"Srp14","T_cells",0.621,6.71,9.95,0.0125,0.0613,0.0751,"WB","Compartment","muscat_edgeR"
"Bub1b","T_cells",-2.29,1.14,16.3,0.00285,0.0292,0.0347,"WB","Compartment","muscat_edgeR"
"Pak6","T_cells",-0.145,2.23,0.0263,0.875,0.924,0.931,"WB","Compartment","muscat_edgeR"
"Plcb2","T_cells",-0.385,6.14,5.26,0.0491,0.137,0.162,"WB","Compartment","muscat_edgeR"
"Knstrn","T_cells",0.75,2.64,3.83,0.0816,0.189,0.22,"WB","Compartment","muscat_edgeR"
"Ivd","T_cells",0.254,5.27,1.31,0.284,0.441,0.475,"WB","Compartment","muscat_edgeR"
"Bahd1","T_cells",-0.483,4.19,3.44,0.0989,0.215,0.247,"WB","Compartment","muscat_edgeR"
"Ccdc32","T_cells",0.0177,4.2,0.00798,0.931,0.959,0.962,"WB","Compartment","muscat_edgeR"
"Rpusd2","T_cells",0.634,2.51,1.7,0.224,0.375,0.41,"WB","Compartment","muscat_edgeR"
"Knl1","T_cells",-1.27,2.48,11.5,0.00868,0.0504,0.0616,"WB","Compartment","muscat_edgeR"
"Rmdn3","T_cells",0.185,4.15,0.753,0.41,0.563,0.594,"WB","Compartment","muscat_edgeR"
"Dnajc17","T_cells",0.345,3.94,1.42,0.266,0.421,0.456,"WB","Compartment","muscat_edgeR"
"Zfyve19","T_cells",-0.00943,4.08,0.00198,0.966,0.981,0.982,"WB","Compartment","muscat_edgeR"
"Vps18","T_cells",0.00325,3.74,0.000107,0.992,0.996,0.996,"WB","Compartment","muscat_edgeR"
"Ino80","T_cells",-0.314,6.75,3.2,0.109,0.23,0.263,"WB","Compartment","muscat_edgeR"
"Chp1","T_cells",0.166,6.02,1.01,0.342,0.499,0.532,"WB","Compartment","muscat_edgeR"
"Oip5os1","T_cells",-0.241,6.43,3.04,0.117,0.242,0.275,"WB","Compartment","muscat_edgeR"
"Nusap1","T_cells",-1.84,1.2,3.77,0.0834,0.191,0.222,"WB","Compartment","muscat_edgeR"
"Ndufaf1","T_cells",0.208,3.39,0.475,0.509,0.652,0.679,"WB","Compartment","muscat_edgeR"
"Rtf1","T_cells",0.486,7.17,7.84,0.0219,0.0842,0.102,"WB","Compartment","muscat_edgeR"
"Rpap1","T_cells",-0.457,4.24,3.78,0.0856,0.195,0.226,"WB","Compartment","muscat_edgeR"
"Tyro3","T_cells",-0.604,1.54,1.4,0.265,0.42,0.455,"WB","Compartment","muscat_edgeR"
"Mga","T_cells",-0.132,7,0.693,0.428,0.58,0.61,"WB","Compartment","muscat_edgeR"
"Mapkbp1","T_cells",-1.24,3.39,21.5,0.00145,0.0222,0.0246,"WB","Compartment","muscat_edgeR"
"Jmjd7","T_cells",0.0399,3.09,0.0198,0.891,0.935,0.942,"WB","Compartment","muscat_edgeR"
"Pla2g4b","T_cells",-1.05,1.69,3.86,0.081,0.188,0.219,"WB","Compartment","muscat_edgeR"
"Ehd4","T_cells",0.259,4.58,0.822,0.39,0.545,0.577,"WB","Compartment","muscat_edgeR"
"Vps39","T_cells",-0.489,5.36,4.5,0.0648,0.164,0.192,"WB","Compartment","muscat_edgeR"
"Tmem87a","T_cells",-0.0318,6.24,0.0408,0.845,0.906,0.915,"WB","Compartment","muscat_edgeR"
"Ganc","T_cells",0.134,4.93,0.42,0.534,0.674,0.7,"WB","Compartment","muscat_edgeR"
"Capn3","T_cells",-0.892,2.32,2.49,0.15,0.286,0.32,"WB","Compartment","muscat_edgeR"
"Zfp106","T_cells",-0.0515,6.52,0.124,0.734,0.83,0.845,"WB","Compartment","muscat_edgeR"
"Snap23","T_cells",-0.0723,5.32,0.0822,0.781,0.863,0.875,"WB","Compartment","muscat_edgeR"
"Lrrc57","T_cells",0.15,3.35,0.202,0.665,0.779,0.798,"WB","Compartment","muscat_edgeR"
"Haus2","T_cells",0.982,4.47,18.7,0.00221,0.0268,0.0307,"WB","Compartment","muscat_edgeR"
"Cdan1","T_cells",-0.789,3.94,7.51,0.0241,0.0891,0.108,"WB","Compartment","muscat_edgeR"
"Ttbk2","T_cells",-0.0577,2.88,0.0188,0.894,0.937,0.943,"WB","Compartment","muscat_edgeR"
"Ubr1","T_cells",-0.114,7.03,0.719,0.42,0.572,0.603,"WB","Compartment","muscat_edgeR"
"Tmem62","T_cells",0.186,4.33,0.503,0.497,0.641,0.669,"WB","Compartment","muscat_edgeR"
"Ccndbp1","T_cells",0.592,5.65,7.66,0.0231,0.0868,0.105,"WB","Compartment","muscat_edgeR"
"Lcmt2","T_cells",-0.00463,3.75,0.000298,0.987,0.992,0.993,"WB","Compartment","muscat_edgeR"
"Adal","T_cells",0.311,4.29,1.93,0.2,0.346,0.383,"WB","Compartment","muscat_edgeR"
"Zscan29","T_cells",-0.0613,4.84,0.0951,0.765,0.851,0.865,"WB","Compartment","muscat_edgeR"
"Tubgcp4","T_cells",-0.215,5.43,1.1,0.323,0.481,0.513,"WB","Compartment","muscat_edgeR"
"Trp53bp1","T_cells",-0.277,5.78,1.39,0.27,0.426,0.461,"WB","Compartment","muscat_edgeR"
"Ppip5k1","T_cells",-0.264,3.16,0.722,0.419,0.572,0.602,"WB","Compartment","muscat_edgeR"
"Pdia3","T_cells",0.441,8.28,9.52,0.0139,0.0653,0.0796,"WB","Compartment","muscat_edgeR"
"Serf2","T_cells",0.668,8.55,10.3,0.0114,0.0586,0.0717,"WB","Compartment","muscat_edgeR"
"Hypk","T_cells",0.243,3.99,0.777,0.403,0.557,0.588,"WB","Compartment","muscat_edgeR"
"Mfap1b","T_cells",0.613,6.13,8.69,0.0173,0.0739,0.0897,"WB","Compartment","muscat_edgeR"
"Mfap1a","T_cells",0.398,6.11,3.28,0.106,0.225,0.257,"WB","Compartment","muscat_edgeR"
"Wdr76","T_cells",-0.437,4.18,3.83,0.0839,0.192,0.223,"WB","Compartment","muscat_edgeR"
"Frmd5","T_cells",-5.48,3.23,41.7,0.000151,0.00942,0.00767,"WB","Compartment","muscat_edgeR"
"Golm2","T_cells",-0.14,5.01,0.543,0.481,0.627,0.655,"WB","Compartment","muscat_edgeR"
"Ctdspl2","T_cells",0.221,6.03,1.16,0.311,0.467,0.501,"WB","Compartment","muscat_edgeR"
"Eif3j1","T_cells",0.467,6.44,7.66,0.023,0.0867,0.105,"WB","Compartment","muscat_edgeR"
"Spg11","T_cells",-0.132,5.34,0.562,0.474,0.62,0.65,"WB","Compartment","muscat_edgeR"
"Patl2","T_cells",0.312,3.33,1.02,0.341,0.498,0.531,"WB","Compartment","muscat_edgeR"
"B2m","T_cells",0.967,11.2,18.2,0.00239,0.0275,0.0318,"WB","Compartment","muscat_edgeR"
"Slc28a2","T_cells",-0.424,7.3,6.1,0.0371,0.116,0.138,"WB","Compartment","muscat_edgeR"
"Slc28a2b","T_cells",-0.573,7.34,4.36,0.0681,0.169,0.198,"WB","Compartment","muscat_edgeR"
"Spata5l1","T_cells",-0.0127,4.38,0.00448,0.948,0.97,0.973,"WB","Compartment","muscat_edgeR"
"Slc30a4","T_cells",0.101,3.83,0.142,0.716,0.818,0.833,"WB","Compartment","muscat_edgeR"
"Bloc1s6","T_cells",0.385,4.52,4.05,0.0771,0.183,0.213,"WB","Compartment","muscat_edgeR"
"Sqor","T_cells",-0.551,3.3,1.8,0.214,0.363,0.399,"WB","Compartment","muscat_edgeR"
"Sema6d","T_cells",-2.62,0.508,10.6,0.0086,0.0502,0.0613,"WB","Compartment","muscat_edgeR"
"Myef2","T_cells",-0.158,5.06,0.826,0.388,0.544,0.576,"WB","Compartment","muscat_edgeR"
"Dut","T_cells",0.052,5.28,0.0778,0.787,0.867,0.879,"WB","Compartment","muscat_edgeR"
"Cep152","T_cells",-0.567,4.85,10.2,0.0118,0.0598,0.073,"WB","Compartment","muscat_edgeR"
"Eid1","T_cells",-0.214,4.59,0.359,0.565,0.699,0.724,"WB","Compartment","muscat_edgeR"
"Secisbp2l","T_cells",0.0482,6.15,0.0948,0.766,0.851,0.865,"WB","Compartment","muscat_edgeR"
"Cops2","T_cells",0.406,5.89,7.06,0.0275,0.0967,0.116,"WB","Compartment","muscat_edgeR"
"Galk2","T_cells",0.0405,5.93,0.07,0.798,0.875,0.886,"WB","Compartment","muscat_edgeR"
"Dtwd1","T_cells",-0.47,2.77,2.47,0.152,0.288,0.323,"WB","Compartment","muscat_edgeR"
"Atp8b4","T_cells",-0.325,8.56,1.77,0.218,0.368,0.403,"WB","Compartment","muscat_edgeR"
"Hdc","T_cells",-1.23,4.37,3.28,0.106,0.225,0.257,"WB","Compartment","muscat_edgeR"
"Gabpb1","T_cells",0.511,5.58,7.7,0.0228,0.0862,0.104,"WB","Compartment","muscat_edgeR"
"Gm27003","T_cells",0.951,3.98,5.35,0.0477,0.134,0.16,"WB","Compartment","muscat_edgeR"
"Usp8","T_cells",-0.328,6.29,2.93,0.123,0.25,0.284,"WB","Compartment","muscat_edgeR"
"Usp50","T_cells",-1.07,3.03,5.09,0.0524,0.143,0.169,"WB","Compartment","muscat_edgeR"
"Trpm7","T_cells",0.245,7.29,3.26,0.106,0.226,0.258,"WB","Compartment","muscat_edgeR"
"Sppl2a","T_cells",0.276,6.6,4.04,0.077,0.183,0.213,"WB","Compartment","muscat_edgeR"
"Ap4e1","T_cells",-0.785,5.07,11.9,0.00787,0.0484,0.0586,"WB","Compartment","muscat_edgeR"
"Blvra","T_cells",0.137,4.53,0.434,0.528,0.669,0.695,"WB","Compartment","muscat_edgeR"
"Itpripl1","T_cells",-0.389,2.88,1.9,0.203,0.35,0.386,"WB","Compartment","muscat_edgeR"
"1810024B03Rik","T_cells",0.721,2.36,2.34,0.159,0.296,0.332,"WB","Compartment","muscat_edgeR"
"Snrnp200","T_cells",0.0312,6.82,0.038,0.85,0.909,0.917,"WB","Compartment","muscat_edgeR"
"Ciao1","T_cells",0.26,5.02,1.26,0.292,0.449,0.483,"WB","Compartment","muscat_edgeR"
"Tmem127","T_cells",0.278,5.85,3.43,0.0988,0.215,0.247,"WB","Compartment","muscat_edgeR"
"Stard7","T_cells",-0.155,5.6,0.686,0.43,0.583,0.612,"WB","Compartment","muscat_edgeR"
"Dusp2","T_cells",-0.44,6.88,0.523,0.489,0.633,0.662,"WB","Compartment","muscat_edgeR"
"Astl","T_cells",-3.69,1.25,35.3,0.000241,0.0116,0.00986,"WB","Compartment","muscat_edgeR"
"Fahd2a","T_cells",-0.158,3.04,0.206,0.661,0.776,0.796,"WB","Compartment","muscat_edgeR"
"Kcnip3","T_cells",-5,2.53,49.2,0.0000828,0.00828,0.00583,"WB","Compartment","muscat_edgeR"
"Mrps5","T_cells",0.273,5.43,2.06,0.187,0.331,0.366,"WB","Compartment","muscat_edgeR"
"Mtln","T_cells",0.332,3.52,0.547,0.48,0.626,0.655,"WB","Compartment","muscat_edgeR"
"Acoxl","T_cells",-0.689,5.18,3.15,0.112,0.234,0.267,"WB","Compartment","muscat_edgeR"
"Bcl2l11","T_cells",0.175,6.89,0.778,0.402,0.557,0.588,"WB","Compartment","muscat_edgeR"
"Morrbid","T_cells",-1.99,3.22,17.7,0.00262,0.0284,0.0333,"WB","Compartment","muscat_edgeR"
"Anapc1","T_cells",-0.349,6.43,4.17,0.0733,0.177,0.206,"WB","Compartment","muscat_edgeR"
"Tmem87b","T_cells",0.44,5.43,4.94,0.0551,0.148,0.174,"WB","Compartment","muscat_edgeR"
"Zc3h8","T_cells",-0.236,3.87,0.477,0.508,0.651,0.679,"WB","Compartment","muscat_edgeR"
"Gm10762","T_cells",1.4,2.87,6.42,0.0311,0.104,0.124,"WB","Compartment","muscat_edgeR"
"Zc3h6","T_cells",-0.371,5.2,2.08,0.185,0.329,0.364,"WB","Compartment","muscat_edgeR"
"Ttl","T_cells",-0.238,2.6,0.497,0.499,0.643,0.671,"WB","Compartment","muscat_edgeR"
"Polr1b","T_cells",-0.423,4.6,3.9,0.0817,0.189,0.22,"WB","Compartment","muscat_edgeR"
"Chchd5","T_cells",0.0918,3.45,0.112,0.747,0.838,0.852,"WB","Compartment","muscat_edgeR"
"AI847159","T_cells",-0.321,1.96,0.707,0.422,0.574,0.604,"WB","Compartment","muscat_edgeR"
"Gm14029","T_cells",0.682,3.26,5.91,0.0391,0.119,0.142,"WB","Compartment","muscat_edgeR"
"Slc20a1","T_cells",-0.328,6.15,2.66,0.139,0.272,0.306,"WB","Compartment","muscat_edgeR"
"9830144P21Rik","T_cells",-0.359,2.41,0.853,0.38,0.537,0.568,"WB","Compartment","muscat_edgeR"
"Ckap2l","T_cells",-2.67,1.03,16.1,0.00296,0.0295,0.0351,"WB","Compartment","muscat_edgeR"
"Il1b","T_cells",0.532,4.65,0.247,0.632,0.751,0.773,"WB","Compartment","muscat_edgeR"
"Sirpa","T_cells",-2.6,2,14.7,0.00444,0.0361,0.0432,"WB","Compartment","muscat_edgeR"
"Stk35","T_cells",-0.316,2.77,0.432,0.528,0.669,0.695,"WB","Compartment","muscat_edgeR"
"Snrpb","T_cells",0.66,7.69,14.6,0.00451,0.0365,0.0437,"WB","Compartment","muscat_edgeR"
"Nop56","T_cells",0.146,7.05,0.44,0.525,0.666,0.692,"WB","Compartment","muscat_edgeR"
"Idh3b","T_cells",0.786,6.23,15.9,0.00354,0.0321,0.0384,"WB","Compartment","muscat_edgeR"
"Pced1a","T_cells",0.495,3.56,3.94,0.0803,0.188,0.218,"WB","Compartment","muscat_edgeR"
"Vps16","T_cells",0.163,5.67,0.85,0.382,0.538,0.57,"WB","Compartment","muscat_edgeR"
"Ptpra","T_cells",-0.474,7.14,4.1,0.0754,0.18,0.21,"WB","Compartment","muscat_edgeR"
"Mrps26","T_cells",0.365,5.92,4.54,0.0637,0.162,0.19,"WB","Compartment","muscat_edgeR"
"Ubox5","T_cells",-1.94,2.57,18.6,0.00224,0.0269,0.0309,"WB","Compartment","muscat_edgeR"
"Ddrgk1","T_cells",0.32,6.25,2.09,0.184,0.328,0.363,"WB","Compartment","muscat_edgeR"
"Itpa","T_cells",0.00704,4.24,0.0012,0.973,0.985,0.986,"WB","Compartment","muscat_edgeR"
"Dnaaf9","T_cells",-0.496,5.23,3.79,0.0851,0.194,0.225,"WB","Compartment","muscat_edgeR"
"A730017L22Rik","T_cells",0.173,2.73,0.236,0.639,0.757,0.779,"WB","Compartment","muscat_edgeR"
"Atrn","T_cells",-0.441,6.19,4.43,0.0664,0.166,0.195,"WB","Compartment","muscat_edgeR"
"1700037H04Rik","T_cells",0.484,4.37,2.97,0.121,0.246,0.28,"WB","Compartment","muscat_edgeR"
"Cenpb","T_cells",-0.853,4.24,8.69,0.0173,0.074,0.0898,"WB","Compartment","muscat_edgeR"
"Cdc25b","T_cells",-0.341,5.42,2.17,0.177,0.319,0.355,"WB","Compartment","muscat_edgeR"
"Ap5s1","T_cells",-0.0552,2.64,0.0138,0.909,0.946,0.951,"WB","Compartment","muscat_edgeR"
"Mavs","T_cells",-0.278,3.62,1.38,0.272,0.428,0.462,"WB","Compartment","muscat_edgeR"
"Pank2","T_cells",-0.526,5.87,7.5,0.0241,0.0891,0.108,"WB","Compartment","muscat_edgeR"
"Rnf24","T_cells",0.159,2.87,0.119,0.738,0.833,0.847,"WB","Compartment","muscat_edgeR"
"Smox","T_cells",0.348,3.94,0.633,0.448,0.599,0.628,"WB","Compartment","muscat_edgeR"
"Rassf2","T_cells",-0.515,6.73,7.58,0.0236,0.088,0.106,"WB","Compartment","muscat_edgeR"
"Slc23a2","T_cells",-0.518,5.36,7.75,0.0224,0.0854,0.103,"WB","Compartment","muscat_edgeR"
"Tmem230","T_cells",0.462,4.63,4.5,0.0647,0.163,0.191,"WB","Compartment","muscat_edgeR"
"Pcna","T_cells",0.111,6.61,0.284,0.608,0.733,0.755,"WB","Compartment","muscat_edgeR"
"Cds2","T_cells",-0.00875,6.45,0.00176,0.967,0.982,0.983,"WB","Compartment","muscat_edgeR"
"Gpcpd1","T_cells",-0.541,6.92,5.98,0.0385,0.118,0.141,"WB","Compartment","muscat_edgeR"
"Shld1","T_cells",0.12,5.75,0.34,0.575,0.707,0.731,"WB","Compartment","muscat_edgeR"
"Trmt6","T_cells",-0.318,5.21,3.09,0.115,0.237,0.271,"WB","Compartment","muscat_edgeR"
"Mcm8","T_cells",-0.823,1.81,2.05,0.186,0.33,0.365,"WB","Compartment","muscat_edgeR"
"Crls1","T_cells",-0.721,3.2,1.94,0.199,0.346,0.382,"WB","Compartment","muscat_edgeR"
"Tmx4","T_cells",0.174,5.38,0.653,0.441,0.593,0.622,"WB","Compartment","muscat_edgeR"
"Plcb1","T_cells",1.22,2.79,7.95,0.0194,0.0783,0.0952,"WB","Compartment","muscat_edgeR"
"Plcb4","T_cells",-2.45,5.45,30.4,0.000456,0.0142,0.0138,"WB","Compartment","muscat_edgeR"
"Mkks","T_cells",-0.294,2.03,0.408,0.539,0.678,0.704,"WB","Compartment","muscat_edgeR"
"Slx4ip","T_cells",-0.382,5.62,4.26,0.0708,0.174,0.202,"WB","Compartment","muscat_edgeR"
"Tasp1","T_cells",-1.02,7.48,30.1,0.000472,0.0143,0.014,"WB","Compartment","muscat_edgeR"
"Esf1","T_cells",0.0478,5.69,0.0458,0.836,0.901,0.91,"WB","Compartment","muscat_edgeR"
"Ndufaf5","T_cells",0.0313,4.26,0.0263,0.875,0.925,0.931,"WB","Compartment","muscat_edgeR"
"Kif16b","T_cells",-0.412,5.94,4.05,0.0768,0.182,0.212,"WB","Compartment","muscat_edgeR"
"Snrpb2","T_cells",0.637,4.95,8.87,0.0165,0.0722,0.0876,"WB","Compartment","muscat_edgeR"
"Dstn","T_cells",-0.96,3.86,7.02,0.0279,0.0974,0.117,"WB","Compartment","muscat_edgeR"
"Rrbp1","T_cells",-0.21,6.8,1.84,0.21,0.359,0.394,"WB","Compartment","muscat_edgeR"
"Snx5","T_cells",0.262,7.18,2.03,0.19,0.334,0.37,"WB","Compartment","muscat_edgeR"
"Mgme1","T_cells",-0.116,2.93,0.15,0.708,0.811,0.828,"WB","Compartment","muscat_edgeR"
"Kat14","T_cells",-0.755,4.27,5.11,0.0518,0.142,0.168,"WB","Compartment","muscat_edgeR"
"Polr3f","T_cells",0.215,4.59,1.18,0.306,0.464,0.497,"WB","Compartment","muscat_edgeR"
"Rbbp9","T_cells",-0.207,2.42,0.296,0.6,0.727,0.749,"WB","Compartment","muscat_edgeR"
"Sec23b","T_cells",0.53,5.1,6.93,0.0286,0.099,0.119,"WB","Compartment","muscat_edgeR"
"Smim26","T_cells",1.12,3.53,6.26,0.0349,0.112,0.133,"WB","Compartment","muscat_edgeR"
"Dtd1","T_cells",0.0377,6.24,0.0282,0.87,0.922,0.929,"WB","Compartment","muscat_edgeR"
"Slc24a3","T_cells",-2.04,2.62,27.4,0.000659,0.0163,0.0166,"WB","Compartment","muscat_edgeR"
"Rin2","T_cells",-1.91,1.87,7.04,0.0272,0.0959,0.115,"WB","Compartment","muscat_edgeR"
"Naa20","T_cells",0.184,5.12,1.13,0.316,0.473,0.506,"WB","Compartment","muscat_edgeR"
"Crnkl1","T_cells",0.435,5.22,3.88,0.0822,0.19,0.221,"WB","Compartment","muscat_edgeR"
"Ralgapa2","T_cells",-0.225,7.61,1.69,0.227,0.378,0.414,"WB","Compartment","muscat_edgeR"
"Kiz","T_cells",-0.153,5.07,0.639,0.446,0.597,0.626,"WB","Compartment","muscat_edgeR"
"Xrn2","T_cells",0.687,8.45,18.7,0.00219,0.0267,0.0306,"WB","Compartment","muscat_edgeR"
"Cd93","T_cells",-1.01,2.31,2.09,0.183,0.327,0.362,"WB","Compartment","muscat_edgeR"
"Nxt1","T_cells",-0.256,4.41,1.22,0.299,0.457,0.49,"WB","Compartment","muscat_edgeR"
"Gzf1","T_cells",-1.04,3.64,13.3,0.00599,0.042,0.0507,"WB","Compartment","muscat_edgeR"
"Cst3","T_cells",0.214,6.41,1.68,0.229,0.38,0.415,"WB","Compartment","muscat_edgeR"
"Zfp120","T_cells",-0.9,4.51,16.7,0.00308,0.0302,0.0359,"WB","Compartment","muscat_edgeR"
"Zfp937","T_cells",-1.06,2.03,3.48,0.0959,0.211,0.242,"WB","Compartment","muscat_edgeR"
"3300002I08Rik","T_cells",-0.702,4.43,10.1,0.012,0.0601,0.0735,"WB","Compartment","muscat_edgeR"
"Gm10130","T_cells",-0.497,4.48,3.37,0.102,0.219,0.251,"WB","Compartment","muscat_edgeR"
"Zfp442","T_cells",-1.15,2.74,5.9,0.0396,0.12,0.143,"WB","Compartment","muscat_edgeR"
"Cst7","T_cells",0.313,5.92,1.53,0.249,0.403,0.437,"WB","Compartment","muscat_edgeR"
"Apmap","T_cells",-0.00494,4.24,0.000417,0.984,0.991,0.992,"WB","Compartment","muscat_edgeR"
"Acss1","T_cells",-0.524,6.13,7.81,0.0221,0.0845,0.102,"WB","Compartment","muscat_edgeR"
"E130215H24Rik","T_cells",0.327,2.35,0.498,0.498,0.642,0.67,"WB","Compartment","muscat_edgeR"
"Entpd6","T_cells",-0.233,5.56,1.56,0.245,0.398,0.433,"WB","Compartment","muscat_edgeR"
"Pygb","T_cells",-0.233,5.69,1.81,0.214,0.362,0.398,"WB","Compartment","muscat_edgeR"
"Abhd12","T_cells",-0.342,5.35,3.11,0.114,0.237,0.27,"WB","Compartment","muscat_edgeR"
"Nanp","T_cells",-0.66,3.1,6.31,0.0348,0.111,0.133,"WB","Compartment","muscat_edgeR"
"Nsfl1c","T_cells",0.535,5.85,9.43,0.0142,0.0662,0.0805,"WB","Compartment","muscat_edgeR"
"Fkbp1a","T_cells",0.41,7.2,3.25,0.107,0.226,0.259,"WB","Compartment","muscat_edgeR"
"Sdcbp2","T_cells",-0.247,3.13,0.639,0.446,0.597,0.626,"WB","Compartment","muscat_edgeR"
"Psmf1","T_cells",0.202,5.17,1.27,0.29,0.447,0.481,"WB","Compartment","muscat_edgeR"
"Fam110a","T_cells",-1.2,2.17,8.74,0.0168,0.0727,0.0883,"WB","Compartment","muscat_edgeR"
"Srxn1","T_cells",0.75,1.65,0.588,0.459,0.608,0.638,"WB","Compartment","muscat_edgeR"
"Csnk2a1","T_cells",0.0849,6.88,0.24,0.637,0.756,0.776,"WB","Compartment","muscat_edgeR"
"Tbc1d20","T_cells",-0.14,5.12,0.606,0.457,0.607,0.637,"WB","Compartment","muscat_edgeR"
"Rbck1","T_cells",0.135,6.63,0.642,0.445,0.596,0.625,"WB","Compartment","muscat_edgeR"
"H13","T_cells",0.24,7.06,2.97,0.121,0.247,0.281,"WB","Compartment","muscat_edgeR"
"Bcl2l1","T_cells",-1.88,4.98,21,0.00153,0.0228,0.0252,"WB","Compartment","muscat_edgeR"
"Tpx2","T_cells",-3.36,1.9,18.5,0.00226,0.0269,0.031,"WB","Compartment","muscat_edgeR"
"Pdrg1","T_cells",0.42,5.61,6.47,0.033,0.107,0.129,"WB","Compartment","muscat_edgeR"
"Hck","T_cells",-2.79,1.98,11.8,0.00807,0.0489,0.0593,"WB","Compartment","muscat_edgeR"
"Tm9sf4","T_cells",-0.318,5.38,4.07,0.0763,0.182,0.211,"WB","Compartment","muscat_edgeR"
"Tspyl3","T_cells",-0.0447,3.17,0.0104,0.921,0.954,0.957,"WB","Compartment","muscat_edgeR"
"Plagl2","T_cells",-0.185,4.61,0.816,0.391,0.547,0.578,"WB","Compartment","muscat_edgeR"
"Pofut1","T_cells",-0.939,5,29.1,0.00053,0.0149,0.0148,"WB","Compartment","muscat_edgeR"
"Kif3b","T_cells",-0.259,5.25,1.89,0.204,0.351,0.387,"WB","Compartment","muscat_edgeR"
"Asxl1","T_cells",-0.376,7.28,2.49,0.151,0.287,0.322,"WB","Compartment","muscat_edgeR"
"Nol4l","T_cells",-2.83,3.67,18.3,0.00235,0.0273,0.0315,"WB","Compartment","muscat_edgeR"
"Commd7","T_cells",0.332,5.73,3.81,0.0846,0.193,0.224,"WB","Compartment","muscat_edgeR"
"Dnmt3b","T_cells",-0.263,3.58,0.606,0.458,0.607,0.637,"WB","Compartment","muscat_edgeR"
"Mapre1","T_cells",0.806,6.75,22.9,0.00116,0.0207,0.022,"WB","Compartment","muscat_edgeR"
"Cdk5rap1","T_cells",0.506,3.96,2.2,0.175,0.316,0.352,"WB","Compartment","muscat_edgeR"
"Cbfa2t2","T_cells",-0.179,5.68,1.35,0.277,0.434,0.468,"WB","Compartment","muscat_edgeR"
"Pxmp4","T_cells",0.252,4.08,1.54,0.248,0.401,0.436,"WB","Compartment","muscat_edgeR"
"Zfp341","T_cells",0.404,3.72,1.67,0.231,0.383,0.418,"WB","Compartment","muscat_edgeR"
"Chmp4b","T_cells",0.707,7.07,20.8,0.00159,0.0233,0.0256,"WB","Compartment","muscat_edgeR"
"Raly","T_cells",0.776,7.19,23.7,0.00104,0.0198,0.021,"WB","Compartment","muscat_edgeR"
"a","T_cells",-0.172,2.83,0.105,0.753,0.843,0.857,"WB","Compartment","muscat_edgeR"
"Eif2s2","T_cells",0.851,6.76,17.7,0.00259,0.0282,0.0331,"WB","Compartment","muscat_edgeR"
"Ahcy","T_cells",0.939,4.93,11.6,0.00853,0.0501,0.061,"WB","Compartment","muscat_edgeR"
"Itch","T_cells",0.011,7.3,0.00475,0.947,0.969,0.972,"WB","Compartment","muscat_edgeR"
"Dynlrb1","T_cells",0.687,6.06,7.81,0.0221,0.0846,0.102,"WB","Compartment","muscat_edgeR"
